pygtk 2.24.0-8
python 3.8.1-4
python-appdirs 1.4.3-5
python-cachecontrol 0.12.6-1
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-contextlib2 0.6.0-3
python-dbus-common 1.2.14-1
python-distlib 0.3.0-1
python-distro 1.4.0-3
python-gobject 3.34.0-3
python-html5lib 1.0.1-7
python-httplib2 0.15.0-1
python-idna 2.8-3
python-importlib-metadata 1.4.0-1
python-lockfile 0.12.2-6
python-mlt 6.18.0-3
python-more-itertools 8.1.0-1
python-msgpack 0.6.2-3
python-netifaces 0.10.9-3
python-ordered-set 3.1.1-1
python-packaging 20.0-1
python-pep517 0.6.0-3
python-pillow 6.2.1-1
python-pip 19.3-1
python-ply 3.11-4
python-powerline 2.7-4
python-progress 1.5-3
python-psutil 5.6.7-1
python-pyparsing 2.4.6-1
python-pyqt5 5.14.1-1
python-pytoml 0.1.21-3
python-pyzmq 18.1.1-1
python-requests 2.22.0-3
python-retrying 1.3.3-6
python-setuptools 1:44.0.0-1
python-sip-pyqt5 4.19.19-3
python-six 1.14.0-1
python-urllib3 1.25.8-1
python-webencodings 0.5.1-4
python-zipp 1.0.0-1
python2 2.7.17-1
python2-cairo 1.18.2-4
python2-dbus 1.2.14-1
python2-gobject2 2.28.7-4
python2-psutil 5.6.7-1
python2-xdg 0.26-4
qalculate-gtk 3.7.0-1
qca 2.2.1-4
qemu 4.2.0-1
qemu-arch-extra 4.2.0-1
qpdf 9.1.1-1
qt5-base 5.14.1-1
qt5-declarative 5.14.1-1
qt5-graphicaleffects 5.14.1-1
qt5-location 5.14.1-1
qt5-multimedia 5.14.1-1
qt5-quickcontrols 5.14.1-1
qt5-quickcontrols2 5.14.1-1
qt5-script 5.14.1-1
qt5-sensors 5.14.1-1
qt5-speech 5.14.1-1
qt5-svg 5.14.1-1
qt5-webchannel 5.14.1-1
qt5-webkit 5.212.0alpha3-9
qt5-x11extras 5.14.1-1
quazip 0.8.1-2
raptor 2.0.15-12
rasqal 1:0.9.33-2
re2 20200101-1
readline 8.0.001-2
recode 3.7.6-1
redland 1:1.0.17-7
refind-efi 0.11.3-1
rest 0.8.1-1
rhash 1.3.9-1
ripgrep 11.0.2-1
rofi 1.5.4-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
rubberband 1.8.2-3
ruby 2.7.0-1
ruby-diff-lcs 1.3-4
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-rspec 3.8.0-3
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.6.0-3
ruby-tins 1.16.3-3
rubygems 3.1.2-4
run-parts 4.8.6.1-2
sane 1.0.28-3
sbc 1.4-1
schroedinger 1.0.11-5
scrot 1.2-1
sdl 1.2.15-13
sdl2 2.0.10-1
sdl2_image 2.0.5-1
sdl_image 1.2.12-5
sdl_ttf 2.0.11-5
seabios 1.13.0-1
sed 4.8-1
semver 7.1.1-1
serd 0.30.2-1
setconf 0.7.6-1
shaderc 2019.0-4
shadow 4.8-1
shared-mime-info 1.15-2
sl 5.02-5
smbclient 4.10.10-2
snappy 1.1.8-1
solid 5.66.0-1
sonnet 5.66.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-3
soundfont-fluid 3.1-2
soundtouch 2.1.2-1
sox 14.4.2-5
speedtest-cli 2.1.2-2
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spicetify-cli 0.9.6-1
spirv-tools 2019.3-2
spotify 1:1.1.10.546-1
sqlite 3.31.1-1
sqlmap 1.4-1
squashfs-tools 4.4-1
sratom 0.6.4-1
startup-notification 0.12-6
steam 1.0.0.61-3
sudo 1.8.30-1
suil 0.10.6-2
suitesparse 5.6.0-1
supertux 0.6.1-2
supertuxkart 1.1-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 244.1-1
systemd-libs 244.1-1
systemd-resolvconf 244.1-1
systemd-sysvcompat 244.1-1
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tdb 1.3.18-4
tevent 1:0.9.39-4
texinfo 6.7-2
texlive-bin 2019.51075-5
texlive-core 2019.52579-1
texmaker 5.0.4-1
thin-provisioning-tools 0.8.5-3
thunar 1.8.11-1
thunderbird 68.4.2-1
timidity++ 2.15.0-2
tor 0.4.2.5-1
tree 1.8.0-1
tslib 1.21-1
ttf-dejavu 2.37-2
ttf-liberation 2.00.5-2
ttf-meslo 1.2.1-1
ttf-twemoji-color 12.0.1-1
ttf-ubuntu-font-family 0.83-5
tty-clock 2.3-1
twolame 0.4.0-2
tzdata 2019c-3
uchardet 0.0.6-2
udisks2 2.8.4-1
units 2.19-1
unzip 6.0-13
upower 0.99.11-1
usbmuxd 1.1.0+66+g9af2b12-1
usbredir 0.8.0-1
usbutils 012-2
util-linux 2.35-1
v4l-utils 1.18.0-1
vamp-plugin-sdk 2.9.0-1
vde2 2.3.2-13
vid.stab 1.1-2
vim 8.2.0148-1
vim-runtime 8.2.0148-1
virglrenderer 0.8.0-1
virtualbox 6.1.2-1
virtualbox-host-modules-arch 6.1.2-5
visual-studio-code-bin 1.41.1-1
